DATE,NCGGRSAXDCARQ
2004-01-01,13157.099609375
2004-04-01,13216.7001953125
2004-07-01,13618.0
2004-10-01,13927.0
2005-01-01,14386.7998046875
2005-04-01,14736.900390625
2005-07-01,14954.599609375
2005-10-01,15154.400390625
2006-01-01,15119.099609375
2006-04-01,15186.5
2006-07-01,15413.900390625
2006-10-01,15718.099609375
2007-01-01,16333.5
2007-04-01,16499.099609375
2007-07-01,16545.69921875
2007-10-01,16869.69921875
2008-01-01,17098.19921875
2008-04-01,17386.19921875
2008-07-01,17547.599609375
2008-10-01,17538.5
2009-01-01,17721.099609375
2009-04-01,17992.30078125
2009-07-01,18707.80078125
2009-10-01,19069.099609375
2010-01-01,19025.599609375
2010-04-01,19390.400390625
2010-07-01,19145.80078125
2010-10-01,19935.30078125
2011-01-01,19894.80078125
2011-04-01,20274.69921875
2011-07-01,20476.19921875
2011-10-01,20389.0
2012-01-01,20583.400390625
2012-04-01,20699.900390625
2012-07-01,21006.400390625
2012-10-01,21183.599609375
2013-01-01,21597.599609375
2013-04-01,21821.80078125
2013-07-01,21991.30078125
2013-10-01,22505.599609375
2014-01-01,22673.19921875
2014-04-01,22340.599609375
2014-07-01,22625.0
2014-10-01,22866.69921875
2015-01-01,23575.900390625
2015-04-01,24430.599609375
2015-07-01,24485.80078125
2015-10-01,24299.69921875
2016-01-01,24141.400390625
2016-04-01,23545.900390625
2016-07-01,24168.599609375
2016-10-01,24428.5
2017-01-01,24531.900390625
2017-04-01,24597.5
2017-07-01,24838.30078125
2017-10-01,24855.80078125
2018-01-01,24458.900390625
2018-04-01,24298.599609375
2018-07-01,24268.5
2018-10-01,23928.30078125
2019-01-01,23323.19921875
2019-04-01,23065.0
2019-07-01,22293.30078125
2019-10-01,22067.599609375
2020-01-01,23036.099609375
2020-04-01,21734.099609375
2020-07-01,21946.69921875
2020-10-01,22197.599609375
2021-01-01,23082.69921875
2021-04-01,23148.19921875
2021-07-01,24062.69921875
2021-10-01,24955.80078125
2022-01-01,24852.5
2022-04-01,24596.0
2022-07-01,24284.19921875
2022-10-01,24345.30078125
2023-01-01,25148.099609375
2023-04-01,25287.30078125
2023-07-01,24969.69921875
2023-10-01,24178.5
2024-01-01,23980.0
